roght	right
soneone	someone
thabks	thanks
yeaterday	yesterday
intetesting	interesting
abiut	about
aftet	after
ageee	agree
agsin	again
anazing	amazing
anothet	another
beautuful	beautiful
becsuse	because
bettet	better
confortable	comfortable
coukd	could
fuckimg	fucking
furst	first
goong	going
grest	great
hapoy	happy
inportant	important
labout	labour
lifes	lives
messsge	message
monent	moment
muslins	muslims
peoole	people
plesse	please
reallt	really
shpuld	should
simular	similar
sonething	something
stadiun	stadium
suppprt	support
thabk	thank
thete	there
thiugh	though
tiday	today
woukd	would
